Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
Africa,,2005,1059372350,1059372350
Africa,,2006,1091175800,1091175800
Africa,,2007,1116900100,1116900100
Africa,,2008,1174755200,1174755200
Africa,,2009,1168250400,1168250400
Africa,,2010,1216669000,1216669000
Africa,,2011,1257421000,1257421000
Africa,,2012,1268948200,1268948200
Africa,,2013,1282541800,1282541800
Africa,,2014,1357348700,1357348700
Africa,,2015,1332661800,1332661800
Africa,,2016,1375131500,1375131500
Africa,,2017,1393216400,1393216400
Africa,,2018,1386654300,1386654300
Africa,,2019,1479411800,1479411800
Africa,,2020,1355782400,1355782400
Africa,,2021,1441534000,1441534000
Africa,,2022,1432502900,1432502900
Africa,,2023,1418739200,1418739200
Asia (excl. China and India),,2005,5475925000,5475925000
Asia (excl. China and India),,2006,5617514000,5617514000
Asia (excl. China and India),,2007,5760085000,5760085000
Asia (excl. China and India),,2008,5867472000,5867472000
Asia (excl. China and India),,2009,5890850300,5890850300
Asia (excl. China and India),,2010,6256353000,6256353000
Asia (excl. China and India),,2011,6490375700,6490375700
Asia (excl. China and India),,2012,6750448000,6750448000
Asia (excl. China and India),,2013,6740584000,6740584000
Asia (excl. China and India),,2014,6801443000,6801443000
Asia (excl. China and India),,2015,6949811700,6949811700
Asia (excl. China and India),,2016,7075333600,7075333600
Asia (excl. China and India),,2017,7304572000,7304572000
Asia (excl. China and India),,2018,7409473500,7409473500
Asia (excl. China and India),,2019,7562272300,7562272300
Asia (excl. China and India),,2020,7307606500,7307606500
Asia (excl. China and India),,2021,7518262300,7518262300
Asia (excl. China and India),,2022,7634051600,7634051600
Asia (excl. China and India),,2023,7635394000,7635394000
China,CHN,2005,5882106400,5882106400
China,CHN,2006,6494330400,6494330400
China,CHN,2007,6983547400,6983547400
China,CHN,2008,7501497300,7501497300
China,CHN,2009,7891078000,7891078000
China,CHN,2010,8620576000,8620576000
China,CHN,2011,9532332000,9532332000
China,CHN,2012,9779292000,9779292000
China,CHN,2013,9956329000,9956329000
China,CHN,2014,9990257000,9990257000
China,CHN,2015,9863457000,9863457000
China,CHN,2016,9762714000,9762714000
China,CHN,2017,10006343000,10006343000
China,CHN,2018,10332993000,10332993000
China,CHN,2019,10713984000,10713984000
China,CHN,2020,10905693000,10905693000
China,CHN,2021,11447913000,11447913000
China,CHN,2022,11350538000,11350538000
China,CHN,2023,11902503000,11902503000
Europe (excl. EU-27),,2005,2686686700,2686686700
Europe (excl. EU-27),,2006,2777509000,2777509000
Europe (excl. EU-27),,2007,2771445800,2771445800
Europe (excl. EU-27),,2008,2780618500,2780618500
Europe (excl. EU-27),,2009,2562352000,2562352000
Europe (excl. EU-27),,2010,2692537000,2692537000
Europe (excl. EU-27),,2011,2718283000,2718283000
Europe (excl. EU-27),,2012,2740984800,2740984800
Europe (excl. EU-27),,2013,2666312400,2666312400
Europe (excl. EU-27),,2014,2572619800,2572619800
Europe (excl. EU-27),,2015,2521727700,2521727700
Europe (excl. EU-27),,2016,2508779300,2508779300
Europe (excl. EU-27),,2017,2518700800,2518700800
Europe (excl. EU-27),,2018,2567147500,2567147500
Europe (excl. EU-27),,2019,2532198000,2532198000
Europe (excl. EU-27),,2020,2398923500,2398923500
Europe (excl. EU-27),,2021,2502895000,2502895000
Europe (excl. EU-27),,2022,2488792000,2488792000
Europe (excl. EU-27),,2023,2482599200,2482599200
European Union (27),,2005,3735484400,3735484400
European Union (27),,2006,3752486700,3752486700
European Union (27),,2007,3702451700,3702451700
European Union (27),,2008,3625925400,3625925400
European Union (27),,2009,3330550800,3330550800
European Union (27),,2010,3424056300,3424056300
European Union (27),,2011,3326834000,3326834000
European Union (27),,2012,3257576200,3257576200
European Union (27),,2013,3175109600,3175109600
European Union (27),,2014,3038410200,3038410200
European Union (27),,2015,3094753500,3094753500
European Union (27),,2016,3093282300,3093282300
European Union (27),,2017,3117226000,3117226000
European Union (27),,2018,3049868000,3049868000
European Union (27),,2019,2904707800,2904707800
European Union (27),,2020,2627391700,2627391700
European Union (27),,2021,2801144000,2801144000
European Union (27),,2022,2740077800,2740077800
European Union (27),,2023,2510622000,2510622000
India,IND,2005,1194592400,1194592400
India,IND,2006,1292484600,1292484600
India,IND,2007,1392506000,1392506000
